2020-05-21 11:01:21 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 11:01:38 [main] INFO l:172 /127.0.0.1:52694 | new user joined.
2020-05-21 11:01:44 [main] INFO l:200 /127.0.0.1:52694 | successfully executed <HELP> command!
2020-05-21 11:01:52 [main] INFO l:200 /127.0.0.1:52694 | successfully executed <SHOW> command!
2020-05-21 11:02:28 [main] INFO l:200 /127.0.0.1:52694 | successfully executed <ADD> command!
2020-05-21 11:02:34 [main] INFO l:200 /127.0.0.1:52694 | successfully executed <SHOW> command!
2020-05-21 11:04:16 [main] INFO l:127 /###.###.#.##:##### | server is waiting to users...
2020-05-21 11:04:25 [main] INFO l:172 /127.0.0.1:52730 | new user joined.
2020-05-21 11:04:25 [main] INFO l:199 /127.0.0.1:52730 | successfully executed <SHOW> command!
2020-05-21 11:05:01 [main] INFO l:199 /127.0.0.1:52730 | successfully executed <ADD> command!
2020-05-21 11:05:05 [main] INFO l:199 /127.0.0.1:52730 | successfully executed <SHOW> command!
2020-05-21 11:05:37 [main] INFO l:199 /127.0.0.1:52730 | successfully executed <ADD> command!
2020-05-21 11:05:40 [main] INFO l:199 /127.0.0.1:52730 | successfully executed <SHOW> command!
2020-05-21 11:06:31 [main] INFO l:128 /###.###.#.##:##### | server is waiting to users...
2020-05-21 11:07:02 [main] INFO l:173 /127.0.0.1:52743 | new user joined.
2020-05-21 11:07:02 [main] INFO l:200 /127.0.0.1:52743 | successfully executed <ADD> command!
2020-05-21 11:07:13 [main] INFO l:200 /127.0.0.1:52743 | successfully executed <SHOW> command!
2020-05-21 11:23:33 [main] INFO l:128 /###.###.#.##:##### | server is waiting to users...
2020-05-21 11:23:54 [main] INFO l:173 /127.0.0.1:52835 | new user joined.
2020-05-21 11:30:19 [main] WARN l:206 /127.0.0.1:52835 | user left.
2020-05-21 11:30:30 [main] INFO l:173 /127.0.0.1:52901 | new user joined.
2020-05-21 13:20:01 [main] WARN l:206 /127.0.0.1:52901 | user left.
2020-05-21 13:20:25 [main] INFO l:173 /127.0.0.1:53196 | new user joined.
2020-05-21 13:20:30 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:31 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:32 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:33 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:34 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:35 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:35 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:36 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:37 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:39 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:40 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:41 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:43 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:44 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:45 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:46 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:47 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:48 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:49 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:51 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:52 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:20:53 [main] INFO l:199 /127.0.0.1:53196 | successfully executed <HELP> command!
2020-05-21 13:23:56 [main] WARN l:206 /127.0.0.1:53196 | user left.
